KA,名义功率(kW),小轮转速(r/min),带型,基准宽度Bd,Hamin,Hfmin,e,Fmin,δmin,轴孔径d
1.1,5.5,960,A,11 '/ 11,2.75 / 2.75,8.7 / 8.7,15 / 15,9 '/ 9,6 '/ 6,38 / 25,

小轮 / 大轮直径,传动比, 带基准长度, 中心矩, 小轮包角(°), 带速(m/s), 带的根数,建议带轮结构,槽轮角φ(°),最小带轮宽B,轮毂宽度L,最小外径da,轮毂直径d1,轮缘内径D1,腹板厚度C',预估毛坯质量(Kg)
140 / 280,2,2200,766.795,169.539,7.03717,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 7~12,3.93 / 6.12
140 / 280,2,2200,766.883,169.54,7.03717,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 7~12,3.93 / 6.12
140 / 280,2,2200,766.967,169.541,7.03717,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 7~12,3.93 / 6.12
140 / 280,2,2300,817.047,170.182,7.03717,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 7~12,3.93 / 6.12
140 / 280,2,2300,817.123,170.183,7.03717,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 7~12,3.93 / 6.12
140 / 280,2,2300,817.195,170.184,7.03717,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 7~12,3.93 / 6.12
200 / 400,2,1750,391.856,150.757,10.0531,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 7~12,5.17 / 8.60
200 / 400,2,1940,487.397,156.489,10.0531,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 7~12,5.17 / 8.60
200 / 400,2,1940,487.892,156.513,10.0531,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 7~12,5.17 / 8.60
200 / 400,2,1940,488.344,156.535,10.0531,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 7~12,5.17 / 8.60
200 / 400,2,1940,488.761,156.555,10.0531,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 7~12,5.17 / 8.60
200 / 400,2,2050,544.146,158.941,10.0531,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 7~12,5.17 / 8.60
200 / 400,2,2050,544.502,158.955,10.0531,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 7~12,5.17 / 8.60
200 / 400,2,2050,544.833,158.968,10.0531,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 7~12,5.17 / 8.60
200 / 400,2,2050,545.14,158.979,10.0531,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 7~12,5.17 / 8.60
200 / 400,2,2200,620.428,161.53,10.0531,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 7~12,5.17 / 8.60
200 / 400,2,2200,620.697,161.538,10.0531,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 7~12,5.17 / 8.60
200 / 400,2,2200,620.949,161.546,10.0531,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 7~12,5.17 / 8.60
200 / 400,2,2300,671.185,162.927,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2300,671.408,162.933,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2300,671.618,162.938,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2480,761.817,164.958,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2480,762.004,164.962,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2480,762.182,164.965,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2480,762.351,164.969,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2480,762.511,164.972,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,872.664,166.869,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
200 / 400,2,2700,872.809,166.871,10.0531,2,实心 / 孔板,38 / 38,33 / 33,33 / 33,205.5 / 405.5,76 / 50,170.6 / 370.6,0~0 / 5~8,3.55 / 5.89
